Doodle RingGS 1 ring 1 scroll of illusory script 1 common magical ink 8 hours 4 DC 12  common 100 gp
Dwarven Thrower 1 +3 warhammer 1 scroll of weapon of throwing 1 very rare primal essence 16 hours (2 days) 8 DC 18  very rare 37,000 gp
Bow of Magic MissilesTAG 1 bow (short or long) 1 scroll of magic missile 1 scroll of magic weapon 3 rare arcane essence 1 very rare arcane essence 16 hours (1.5 days) 8 DC 18  very rare 10,000 gp
Frost Brand 1 weapon 1 scroll of prismatic weaponK 1 freezing oil 1 very rare primal essence 3 rare primal essence 1 rare arcane essence 16 hours (2 days) 8 DC 19  very rare 11,600 gp
Nine Lives Stealer 1 sword worth at least 500 gp 1 scroll of power word kill 1 scroll of magic jar 16 hours (2 days) 8 DC 17  very rare 46,600 gp
Oathbow 1 longbow worth 500 gp 4 very rare primal essences 1 scroll of true strike 1 scroll of hunter’s mark 1 scroll of hex 24 hours (3 days) 12 DC 19  very rare 17,700 gp
Scimitar of Speed 1 scimitar worth 500 gp 1 scroll of haste 1 very rare arcane essence 1 rare primal essence 16 hours (2 days) 8 DC 18  very rare 10,000 gp
Sword of Sharpness 1 sword worth at least 500 gp 1 scroll of vorpal weapon 1 very rare arcane essence 1 rare arcane essence 16 hours (2 days) 8 DC 18  very rare 11,000 gp
Holy Avenger 1 weapon worth at least 10,000 gp 3 legendary divine essence 1 scroll of holy weapon 1 scroll of holy aura 1 scroll of magic weapon 3 very rare divine essence 40 hours (5 days) 20 DC 22  legendary 158,000 gp
Luck Blade 1 +1 sword 2 scrolls of wish 32 hours (4 days) 16 DC 20  legendary 92,000 gp
Hammer of Thunderbolts 1 maul worth at least 1,000 gp 1 legendary primal essence 2 very rare primal essence 1 scroll of thunderwave 40 hours (5 days) 20 DC 20  legendary 64,000 gp
Defender 1 sword worth at least 1,000 gp 1 legendary divine essence 1 scroll of magic weapon 1 scroll of shield of faith 1 +3 shield 32 hours (4 days) 16 DC 20  legendary 59,000 gp
Dragon Tamer LanceGS 1 lance worth 1,000 gp 1 scroll of summon dragon 1 scroll of chromatic orb 1 legendary primal essence 2 very rare primal essence 8 uncommon primal essences 32 hours (4 days) 16 DC 20  legendary 50,000 gp
+1 Shield 1 shield 1 scroll of shield 1 scroll of shield of faith 1 uncommon arcane essence 1 uncommon divine essence 8 hours 4 DC 15  uncommon 500 gp
+1 Armor 1 set of armor 1 scroll of mage armor 1 scroll of shield 1 scroll of shield of faith 1 rare arcane essence 1 rare divine essence 1 rare primal essence 24 hours (3 days) 12 DC 16  rare 3,000 gp
Armor of Resistance 1 set of armor 1 scroll of protection from energy 2 rare primal essence 1 uncommon primal essence 16 hours (2 days) 8 DC 17  rare 2,400 gp
Arrow-Catching Shield 1 shield 1 scroll of warding wind 1 rare primal essence 1 uncommon arcane essence 12 hours (1.5 days) 6 DC 17  rare 1,300 gp
+2 Shield 1 shield 1 scroll of shield 1 scroll of shield of faith 1 scroll of glyph of warding 2 rare arcane essence 1 rare divine essence 16 hours (2 days) 8 DC 17  rare 3,200 gp
Glamoured Studded Leather 1 +1 studded leather armor 1 scroll of disguise self 1 scroll of silent image 1 rare arcane essence 16 hours (2 days) 8 DC 15  rare 4,2000 gp
Shield of Missile Attraction 1 shield 1 scroll of warding wind 1 rare arcane essence 1 uncommon primal essence 12 hours (1.5 days) 6 DC 16  rare 1,200 gp
Scale Mail of the PangolinDS 1 set of scale mail 1 large carapace 1 scroll of move earth 1 rare primal essence 2 uncommon primal essence 12 hours (1.5 days) 6 DC 16  rare 3,000 gp
Captain’s CoatDS 1 fine longcoat worth 100 gp 1 scroll of enhance ability 1 scroll of vicious mockery 1 scroll of dancing waveK 1 rare primal essence 1 uncommon arcane essence 12 hours (1.5 days) 6 DC 16  rare 1,400 gp
+2 Armor 1 set of armor worth at least 2,000 gp 1 scroll of globe of invulnerability 1 scroll of stoneskin 1 scroll of mage armor 1 scroll of shield 1 scroll of shield of faith 1 very rare arcane essence 1 rare divine essence 1 rare primal essence 32 hours (4 days) 16 DC 20  very rare 17,000 gp
+3 Shield 1 shield worth at least 1,000 gp 1 scroll of wall of stone 1 scroll of wall of force 1 scroll of wind wall 1 scroll of shield 1 scroll of shield of faith 1 very rare arcane essence 1 very rare divine essence 2 rare arcane essence 2 rare divine essence 24 hours (3 days) 12 DC 20 very rare 24,000 gp
Breastplate of the Golden RetrieverDS 1 ornate breastplate worth at least 500 gp 1 scroll of warding bond 1 scroll of faithful hound 16 hours (2 days) 8 DC 16  very rare 9,700 gp
Demon Armor 1 plate armor worth at least 1,500 gp 1 scroll of summon fiend 1 rare arcane essence 16 hours (2 days) 8 DC 15  very rare 4,000 gp
Raiment of the RacoonDS 1 set of studded leather 1 scroll of enhance ability 1 scroll of polymorph 1 very rare primal essence 1 rare arcane essence 16 hours (2 days) 8 DC 17  very rare 9,350 gp
Spellguard Shield 1 shield worth at least 200 gp 1 scroll of antimagic field 1 very rare divine essence 1 rare arcane essence 32 hours (4 days) 16 DC 20  very rare 28,000 gp
Dwarven Plate 1 plate armor with the dwarven modifier 1 scroll of globe of invulnerability 1 scroll of stoneskin 1 scroll of mage armor 1 scroll of shield 1 scroll of shield of faith 1 very rare arcane essence 1 rare divine essence 1 rare primal essence 32 hours (4 days) 16 DC 20  very rare 28,000 gp
Dark Fathom ArmorGS 1 set of studded leather armor 1 scroll of mage armor 1 scroll of shield 1 scroll of black tentacles 1 very rare arcane essence 2 rare primal essence 1 scroll of water breathing 24 hours 12 DC 18  very rare 11,000 gp
+3 Armor 1 set of armor worth at least 4,000 gp 1 scroll of invulnerability 1 legendary arcane essence 1 very rare primal essence 1 very rare divine essence 48 hours (6 days) 24 DC 22  legendary 100,000 gp
Armor of Invulnerability 1 set of plate armor worth at least 4,000 gp 1 scroll of invulnerability 1 scroll of stone skin 1 legendary divine essence 2 very rare arcane essence 48 hours (6 days) 24 DC 23  legendary 125,000 gp
Plate Armor of Etherealness 1 set of plate armor worth at least 1,500 gp 1 scroll of etherealness 1 legendary arcane essence 1 very rare arcane essence 24 hours (3 days) 12 DC 19  legendary 50,000 gp
Ring of Jumping 1 ring worth at least 10 gp 1 scroll of jump 1 common primal essence 8 hours 4 DC 12  uncommon 140 gp
Ring of Mind Shielding 1 ring worth at least 20 gp 1 scroll of protection from good and evil 1 scroll of detect good and evil 1 scroll of detect thoughts 1 common psionic essence 12 hours (1.5 days) 6 DC 15  uncommon 350 gp
Ring of Swimming 1 ring 1 scroll of alter self 1 common primal essence 4 hours 2 DC 14  uncommon 150 gp
Ring of Warmth 1 ring 1 scroll of create bonfire 1 scroll of protection from energy 2 common primal essence 1 uncommon primal essence 16 hours (2 days) 8 DC 14  uncommon 580 gp
Ring of Water Walking 1 ring worth at least 10 gp 1 scroll of water walking 2 common primal essence 8 hours 4 DC 14  uncommon 400 gp
Ring of Resistance 1 ring 1 gem worth 50 gp 1 scroll of protection from energy 1 common primal essence 1 uncommon primal essence 1 rare primal essence 16 hours (2 days) 8 DC 16  uncommon 1,500 gp
Ring of Evasion 1 ring worth at least 400 gp 1 scroll of haste 1 rare primal essence 1 rare arcane essence 16 hours (2 days) 8 DC 17  rare 2,600 gp
Ring of Feather Falling 1 ring worth at least 50 gp 1 scroll of feather fall 1 scroll of levitate 1 uncommon primal essence 1 uncommon arcane essence 8 hours 4 DC 14  rare 500 gp
Ring of Free Action 1 ring worth at least 200 gp 1 scroll of freedom of movement 2 rare divine essence 2 rare arcane essence 1 rare primal essence 24 hours (3 days) 12 DC 17  rare 5000 gp
Ring of Protection 1 ring worth at least 400 gp 1 scroll of shield of faith 1 scroll of mage armor 1 scroll of protection from energy 1 scroll of shield 1 scroll of false life 1 rare arcane essence 1 rare divine essence 16 hours (2 days) 8 DC 17  rare 3,500 gp
Ring of Animal Influence 1 ring worth at least 200 gp 1 scroll of animal friendship 1 scroll of fear 1 scroll of speak with animals 1 rare primal essence 12 hours (1.5 days) 6 DC 16  rare 1,600 gp
Ring of Spell Storing 1 ring worth at least 400 gp 1 empty wizard’s spell book (50 gp) 4 rare arcane essence 4 uncommon arcane essence 4 common arcane essence 16 hours (2 days) 8 DC 17  rare 5,000 gp
Ring of X-Ray Vision 1 ring worth at least 200 gp 1 scroll of true seeing 1 scroll of find traps 1 uncommon arcane essence 12 hours (1.5 days) 6 DC 16  rare 2,300 gp
Ring of the Ram 1 ring worth at least 200 gp 1 scroll of galeboltK 1 scroll of shatter 1 rare arcane essence 1 uncommon primal essence 12 hours (1.5 days) 6 DC 15  rare 1,400 gp
Ring of Regeneration 1 ring worth at least 400 gp 1 scroll of regeneration 1 rare divine essence 1 rare arcane essence 1 rare primal essence 16 hours (2 days) 8 DC 18  very rare 16,600 gp
Ring of Shooting Stars 1 ring worth at least 400 gp 1 scroll of field of starsK 1 very rare arcane essence 1 rare divine essence 16 hours (2 days) 8 DC 18  very rare 11,000 gp
Ring of Telekinesis 1 ringer worth at least 400 gp 1 scroll of telekinesis 1 very rare arcane essence 1 very rare psionic essence 16 hours (2 days) 8 DC 19  very rare 18,250 gp
Ring of Spell Turning 1 ring worth at least 400 gp 1 scroll of antimagic field 1 scroll of counterspell 1 legendary arcane essence 32 hours (4 days) 16 DC 22  legendary 57,000 gp
Ring of Three Wishes 1 ring 3 scrolls of wish 16 hours (2 days) 8 DC 18  legendary 133,333 gp
Ring of Djinni Summoning 1 ring worth at least 400 gp 1 scroll of gate 1 scroll of conjure elemental 1 very rare primal essence the true name of a djinni 24 hours (3 days) 12 DC 20  legendary 56,000 gp
Ring of Elemental Command 1 ring worth at least 400 gp 1 scroll of dominate monster 1 scroll of conjure elemental 1 legendary primal essence 3 very rare primal essence 24 hours (3 days) 12 DC 19  legendary 55,000 gp
Ring of Invisibility 1 ring worth at least 400 gp 1 scroll of invisbility 1 legendary arcane essence 1 very rare arcane essence 32 hours (4 days) 16 DC 22  legendary 50,000 gp
Amulet of Proof against Detection and Location 1 amulet 1 scroll of nondetection 8 hours 4 DC 14  uncommon 350 gp
Brooch of Shielding 1 brooch or amulet worth 10 gp 1 scroll of magic missile 1 scroll of shield 1 scroll of protection from energy 6 hours 3 DC 14  uncommon 444 gp
Medallion of Thoughts 1 medallion worth 25 gp 1 scroll of detect thoughts 1 uncommon arcane essence 1 uncommon psionic essence 8 hours 4 DC 15  uncommon 500 gp
Necklace of Adaptation 1 necklace worth at least 25 gp 1 scroll of protection from poison 1 common divine essence 6 hours 3 DC 12  uncommon 170 gp
Periapt of Health 1 necklace worth 50 gp 1 scroll of purify food and drink 1 scroll of lesser restoration 2 common divine essence 12 hours (1.5 days) 6 DC 12  uncommon 325 gp
Periapt of Wound Closure 1 amulet worth at least 50 gp 1 uncommon divine essence 1 scroll of cure wounds 1 scroll of prayer of healing 8 hours 4 DC 14  uncommon 450 gp
Savage TalismanK 1 necklace worth at least 10 gp 1 scroll of alter self 2 common arcane essence 2 uncommon arcane essence 8 hours 4 DC 14  uncommon 550 gp
Amulet of Health 1 amulet worth 200 gp 1 rare divine essence 1 rare primal essence 16 hours (2 days) 8 DC 18  rare 2500 gp
Necklace of Prayer Beads* 6 gems worth 50 gp each 1 scroll of planar ally 1 scroll of wind walk 1 scroll of branding smite 1 greater restoration 1 cure wounds 1 scroll of lesser restoration 1 scroll of bless 6 rare divine essence 12 hours (1.5 days) 6 DC 16  rare 10,000 gp
Amulet of the Planes 1 amulet worth 650 gp 1 scroll of plane shift 1 rare arcane essence 1 very rare divine essence 24 hours (3 days) 12 DC 18  very rare 23,400 gp
Scarab of Protection 1 scarab shaped medallion worth at least 500 gp 1 scroll of holy aura 1 very rare divine essence 24 hours (3 days) 12 DC 19  legendary 25,000 gp
Talisman of Pure Good 1 talisman woth at least 1,000 gp 1 legendary divine essence from a good- aligned source 1 scroll of fissureK 1 scroll of gate 40 hours (5 days) 20 DC 21  legendary 88,000 gp
Talisman of Ultimate Evil 1 talisman woth at least 1,000 gp 1 legendary divine essence from an evil-aligned source 1 scroll of fissureK 1 scroll of gate 40 hours (5 days) 20 DC 21  legendary 88,000 gp
Talisman of the Sphere 1 talisman woth at least 1,000 gp 1 legendary arcane essence 24 hours (3 days) 12 DC 22  legendary 37,000 gp
Staff of the Python 1 uncommon branch 1 scroll of conjure animals 1 common primal essence 8 hours 4 DC 12  uncommon 350 gp
Staff of Charming 1 rare branch 2 rare divine essence 2 rare primal essence 4 uncommon arcane essence 1 scroll of command 1 scroll of comprehend language 1 scroll of charm person 16 hours (2 days) 8 DC 18  rare 4,600 gp
Staff of Healing 1 rare branch 3 rare divine essence 3 uncommon divine essence 1 scroll of mass cure wounds 1 scroll of cure wounds 1 scroll of lesser restoration 12 hours (1.5 days) 6 DC 18  rare 5,000 gp
Staff of Swarming Insects 1 rare branch 1 scroll of giant insect 1 scroll of insect plague 1 rare primal essence 2 uncommon primal essence 1 uncommone divine essence 12 hours (1.5 days) 6 DC 16  rare 3,200 gp
Staff of Withering 1 rare branch 1 uncommon primal essence 1 uncommon arcane essence 1 scroll of blight 8 hours 4 DC 15  rare 780 gp
Staff of the Woodlands 1 rare branch 4 rare primal essence 8 uncommon primal essence 16 hours (2 days) 8 DC 18  rare 5,100 gp
Staff of Fire 1 very rare branch 1 ruby worth 500 gp 3 very rare primal essence 6 rare primal essence 1 scroll of burning hands 1 scroll of fireball 1 scroll of wall of fire 16 hours (2 days) 8 DC 19  very rare 31,000 gp
Staff of Frost 1 very rare branch 1 sapphire worth 500 gp 1 very rare primal essence 1 very rare arcane essence 4 rare primal essences 2 rare arcane essences 1 scroll of cone of cold 1 scroll of fog cloud 1 scroll of icestorm 1 scroll of of wall of ice 16 hours (2 days) 8 DC 19  very rare 26,000 gp
Staff of Power 1 +2 quarterstaff 1 diamond worth 500 gp 1 legendary arcane essence 1 scroll of cone of cold 1 scroll of fireball 1 scroll of globe of invulnerability 1 scroll of hold monster 1 scroll of levitate 1 scroll of lightning bolt 1 scroll of magic missile 1 scroll of ray of enfeeblement 1 scroll of wall of force 10 rare arcane essence 32 hours (4 days) 16 DC 20  very rare 50,000 gp
Staff of Striking 1 +3 quarterstaff 10 rare arcane essence 16 hours (2 days) 8 DC 18  very rare 37,000 gp
Staff of Thunder and Lightning 1 very rare branch 1 very rare primal essence 1 scroll of lightning bolt 1 scroll of thunder pulseK 16 hours (2 days) 8 DC 16  very rare 9,300 gp
Staff of the Magi 1 legendary branch 2 legendary arcane essence 1 wizard’s spellbook containing all the spells of a staff of magi 4 very rare arcane essence 40 hours (5 days) 20 DC 22  legendary 114,000 gp
Immovable Rod 1 rod worth at least 100 gp 1 scroll of gravity surgeK 4 uncommon arcane essence 8 hours 4 DC 15  uncommon 800 gp
+1 Rod of the Pact Keeper 1 rod worth at least 100 gp (a) 1 entrapped humanoid soul, or (b) 3 uncommon arcane essence 8 hours 4 DC 15  uncommon 650 gp
Rod of Rulership 1 rod worth at least 500 gp 1 scroll of command 1 scroll of charm person 1 scroll of suggestion 1 scroll of charm monster 2 rare arcane essence 16 hours (2 days) 8 DC 17  rare 3,100 gp
+2 Rod of the Pact Keeper 1 rod worth at least 500 gp (a) 3 entrapped humanoid souls of CR/Level 5 or higher, or (b) 3 rare arcane essence 16 hours (2 days) 12 DC 17  rare 3,300 gp
Tentacle Rod 1 rod worth at least 500 gp 1 scroll of black tentacle 3 tentacles at least 5 feet long 2 rare arcane essence 8 hours 4 DC 16  rare 2500 gp
Rod of Absorption 1 rod worth at least 3,000 gp 1 scroll of spelltrapK 1 scroll of counterspell 2 rare arcane essence 8 hours 4 DC 16  very rare 7500 gp
Rod of Alertness 1 rod worth at least 3,000 gp 1 scroll of alarm 1 scroll of detect evil and good 1 scroll of detect magic 1 scroll of detect poison and disease 1 scroll of see invisibility 3 rare arcane essence 16 hours (2 days) 8 DC 17  very rare 6,400 gp
Rod of Security 1 rod worth at least 5,000 gp 1 scroll of demiplane 1 very rare divine essence 24 hours (3 days) 12 DC 18  very rare 29,000 gp
+3 Rod of the Pact Keeper 1 rod worth at least 5,000 gp (a) 1 entrapped soul of a devil or demon CR 15 or higher 2 very rare arcane essence, or (b) 4 very rare arcane essence 24 hours (3 days) 12 DC 19  very rare 38,000 gp
Rod of Lordly Might 1 rod worth at least 10,000 gp 1 scroll of magic weapon 1 scroll of prismatic weaponK 1 scroll of fear 1 scroll of hold monster 1 scroll of vampiric touch 1 very rare primal essence 1 very rare arcane essence 1 very rare divine essence 1 +3 weapon mace or battleaxe 40 hours (5 days) 20 DC 22  legendary 84,000 gp
Rod of Resurrection 1 rod worth at least 10,000 gp 1 scroll of revivify 1 scroll of raise dead 1 scroll of resurrection 1 scroll of true resurrection 1 very rare divine essence 1 legendary divine essence 80 hours (10 days) 40 DC 24  legendary 120,000 gp
Manual of Bodily Health 1 blank book worth 500 gp 1 scroll of enhance ability 1 legendary primal essence 1 legendary divine essence 40 hours (5 days) 20 DC 21  legendary 68,500 gp
Manual of Gainful Exercise 1 blank book worth 500 gp 1 scroll of enhance ability 2 legendary primal essence 40 hours (5 days) 20 DC 21  legendary 68,500 gp
Manual of Golems[When making a manual of golems in this way, you can pick which golem type it is for.] 1 blank book worth 250 gp 1 scroll of awaken 1 scroll of scroll of animate objects 2 very rare arcane essence 1 rare divine essence 24 hours (3 days) 12 DC 19  very rare 12,400 gp
Manual of Quickness of Action 1 blank book worth 500 gp 1 scroll of enhance ability 1 legendary arcane essence 1 legendary divine essence 40 hours (5 days) 20 DC 21  legendary 68,500 gp
Tome of Clear Thought 1 blank book worth 500 gp 1 scroll of enhance ability 2 legendary arcane essence 40 hours (5 days) 20 DC 21  legendary 68,500 gp
Tome of Leadership and Influence 1 blank book worth 500 gp 1 scroll of enhance ability 2 legendary divine essence 40 hours (5 days) 20 DC 21  legendary 68,500 gp
Tome of Understanding 1 blank book worth 500 gp 1 scroll of enhance ability 1 legendary divine essence 1 legendary primal essence 40 hours (5 days) 20 DC 21  legendary 68,500 gp
Ioun Stone (Protection) 1 rose gem worth at least 200 gp 1 scroll of mage armor 3 rare arcane essence 1 rare divine essence 16 hours (2 days) 8 DC 17  rare 3,800 gp
Ioun Stone (Awareness) 1 dark blue gem worth at least 200 gp 1 scroll of enhance ability 1 rare primal essence 1 rare arcane essence 16 hours (2 days) 8 DC 17  rare 2260 gp
Ioun Stone (Sustenance) 1 clear gem worth at least 200 gp 1 scroll of create food and water 2 rare divine essence 1 uncommon arcane essence 16 hours (2 days) 8 DC 16  rare 2,290 gp
Ioun Stone (Reserve) 1 purple gem worth at least 200 gp 5 rare arcane essence 4 uncommon arcane essence 16 hours (2 days) 8 DC 17  rare 5,100 gp
Ioun Stone (Strength) 1 pale blue gem at least 500 gp 1 scroll of enhance ability 4 very rare primal essence 24 hours (3 days) 12 DC 19  very rare 33,000 gp
Ioun Stone (Absorption) 1 pale lavender gem worth at least 500 gp 1 scroll of dispel magic 1 very rare arcane essence 1 very rare divine essence 24 hours (3 days) 12 DC 19  very rare 18,000 gp
Ioun Stone (Agility) 1 deep red gem worth at least 500 gp 1 scroll of enhance ability 2 very rare primal essence 2 very rare divine essence 24 hours (3 days) 12 DC 19  very rare 33,000 gp
Ioun Stone (Fortitude) 1 pink gem worth at least 500 gp 1 scroll of enhance ability 2 very rare divine essence 2 very rare primal essence 24 hours (3 days) 12 DC 19  very rare 33,000 gp
Ioun Stone (Insight) 1 incandescent blue worth at least 500 gp 1 scroll of enhance ability 2 very rare divine essence 2 very rare primal essence 24 hours (3 days) 12 DC 19  very rare 33,000 gp
Ioun Stone (Intellect) 1 incandescent blue worth at least 500 gp 1 scroll of enhance ability 3 very rare arcane essence 1 very rare primal essence 24 hours (3 days) 12 DC 19  very rare 33,000 gp
Ioun Stone (Leadership) 1 pink gem at least 500 gp 1 scroll of enhance ability 4 very rare divine essence 24 hours (3 days) 12 DC 19  very rare 33,000 gp
Ioun Stone (Greater Absorption) 1 lavender gem worth at least 500 gp 1 green gem worth at least 500 gp 2 very rare divine essence 2 very rare arcane essence 1 scroll of antimagic sphere 32 hours (4 days) 16 DC 20  legendary 50,000 gp
Ioun Stone (Mastery) 1 green gem worth at least 1,000 gp 1 scroll of enhance ability 1 legendary divine essence 1 very rare arcane essence 1 very rare primal essence 40 hours (5 days) 20 DC 21  legendary 55,800 gp
Ioun Stone (Regeneration) 1 pearl worth at least 1,000 gp 1 scroll of regeneration 2 very rare divine essence 2 rare divine essence 24 hours (3 days) 12 DC 19 legendary 32,800 Brilliant Diamond 1 diamond worth at least 25 gp 1 common arcane essence 4 hours 2 DC 14  Common 95 gp
Effervescent Emerald 1 emerald worth at least 25 gp 1 common primal essence 4 hours 2 DC 13  Common 70 gp
Flickering Ruby 1 ruby worth at least 50 gp 1 common primal essence 4 hours 2 DC 14  Common 125 gp
Sparkling Sapphire 1 sapphire worth at least 100 gp 1 uncommon arcane essence 6 hours 3 DC 15  Uncommon 320 gp
Glittering Garnet 1 garnet worth at least 100 gp 1 common divine essence 1 uncommon arcane essence 6 hours 3 DC 16  Uncommon 420 gp
Magic Diamond 1 diamond worth at least 100 gp 1 uncommon arcane essence 6 hours 3 DC 16  Uncommon 370 gp
Perfect Infusion 1 cut gem worth at least 50 gp 1 common arcane essence 1 common primal essence 6 hours 3 DC 18 Uncommon 400 gp
